seed_word,letters,viable_centres,centre_difficulty,words_3,words_4,words_5
ABANDONED,"A,B,D,E,N,O","A,B,D,E,N,O","{"N": "Easy", "B": "Easy", "D": "Easy", "O": "Easy", "E": "Easy", "A": "Easy"}",43,51,25
ABIDING,"A,B,D,G,I,N","A,B,D,G,I,N","{"N": "Easy", "A": "Easy", "B": "Easy", "D": "Easy", "G": "Easy", "I": "Easy"}",38,26,10
ABILITY,"A,B,I,L,T,Y","A,B,I,L,T,Y","{"A": "Easy", "L": "Easy", "Y": "Medium", "B": "Easy", "T": "Easy", "I": "Easy"}",27,31,28
ABJECT,"A,B,C,E,J,T","A,B,C,E,J,T","{"J": "Hard", "C": "Medium", "B": "Easy", "T": "Easy", "E": "Easy", "A": "Easy"}",27,21,10
ABOUND,"A,B,D,N,O,U","A,B,D,N,O,U","{"N": "Easy", "B": "Easy", "D": "Easy", "O": "Easy", "U": "Easy", "A": "Easy"}",36,35,11
ABRUPT,"A,B,P,R,T,U","A,B,P,R,T,U","{"P": "Easy", "R": "Easy", "B": "Easy", "T": "Easy", "U": "Easy", "A": "Easy"}",37,38,9
ABSENCE,"A,B,C,E,N,S","A,B,C,E,N,S","{"N": "Easy", "A": "Easy", "B": "Easy", "E": "Easy", "S": "Easy", "C": "Easy"}",33,60,46
ABSTRACTS,"A,B,C,R,S,T","A,B,C,R,S,T","{"A": "Easy", "R": "Easy", "B": "Easy", "T": "Easy", "S": "Easy", "C": "Easy"}",29,45,40
ABSURD,"A,B,D,R,S,U","A,B,D,R,S,U","{"R": "Easy", "B": "Easy", "D": "Easy", "U": "Easy", "S": "Easy", "A": "Easy"}",33,55,38
ABUNDANT,"A,B,D,N,T,U","A,B,D,N,T,U","{"N": "Easy", "B": "Easy", "D": "Easy", "T": "Easy", "U": "Easy", "A": "Easy"}",34,31,10
ABUSED,"A,B,D,E,S,U","A,B,D,E,S,U","{"B": "Easy", "D": "Easy", "E": "Easy", "U": "Easy", "S": "Easy", "A": "Easy"}",38,58,44
ABUSER,"A,B,E,R,S,U","A,B,E,R,S,U","{"R": "Easy", "B": "Easy", "E": "Easy", "U": "Easy", "S": "Easy", "A": "Easy"}",43,73,80
ACADEMIA,"A,C,D,E,I,M","A,C,D,E,I,M","{"M": "Easy", "C": "Easy", "D": "Easy", "I": "Easy", "E": "Easy", "A": "Easy"}",27,46,29
ACADEMIC,"A,C,D,E,I,M","A,C,D,E,I,M","{"M": "Easy", "C": "Easy", "D": "Easy", "I": "Easy", "E": "Easy", "A": "Easy"}",27,46,29
ACADEMY,"A,C,D,E,M,Y","A,C,D,E,M,Y","{"M": "Easy", "Y": "Easy", "D": "Easy", "C": "Easy", "E": "Easy", "A": "Easy"}",28,29,22
ACCELERATE,"A,C,E,L,R,T","A,C,E,L,R,T","{"R": "Easy", "L": "Easy", "C": "Easy", "T": "Easy", "E": "Easy", "A": "Easy"}",43,55,61
ACCEPTANCE,"A,C,E,N,P,T","A,C,E,N,P,T","{"P": "Easy", "N": "Easy", "C": "Easy", "T": "Easy", "E": "Easy", "A": "Easy"}",41,48,29
ACCEPTED,"A,C,D,E,P,T","A,C,D,E,P,T","{"P": "Easy", "C": "Easy", "D": "Easy", "T": "Easy", "E": "Easy", "A": "Easy"}",38,37,21
ACCEPTS,"A,C,E,P,S,T","A,C,E,P,S,T","{"P": "Easy", "A": "Easy", "C": "Easy", "T": "Easy", "E": "Easy", "S": "Easy"}",48,91,77
